iter	Passed	Remaining
840	15874	3001
841	15893	2982
842	15910	2963
843	15928	2944
844	15946	2925
845	15965	2906
846	15984	2887
847	16001	2868
848	16021	2849
849	16038	2830
850	16056	2811
851	16072	2791
852	16089	2772
853	16106	2753
854	16123	2734
855	16141	2715
856	16160	2696
857	16176	2677
858	16193	2658
859	16210	2638
860	16228	2619
861	16247	2601
862	16266	2582
863	16284	2563
864	16304	2544
865	16324	2525
866	16344	2507
867	16363	2488
868	16388	2470
869	16407	2451
870	16425	2432
871	16444	2413
872	16461	2394
873	16479	2375
874	16497	2356
875	16513	2337
876	16533	2318
877	16550	2299
878	16568	2280
879	16586	2261
880	16604	2242
881	16621	2223
882	16640	2204
883	16658	2185
884	16676	2167
885	16694	2148
886	16711	2128
887	16729	2110
888	16746	2090
889	16762	2071
890	16780	2052
891	16800	2034
892	16817	2015
893	16835	1996
894	16853	1977
895	16870	1958
896	16889	1939
897	16907	1920
898	16925	1901
899	16942	1882
900	16961	1863
901	16979	1844
902	16997	1825
903	17015	1806
904	17034	1788
905	17051	1769
906	17069	1750
907	17087	1731
908	17104	1712
909	17123	1693
910	17141	1674
911	17159	1655
912	17179	1637
913	17198	1618
914	17217	1599
915	17239	1580
916	17259	1562
917	17279	1543
918	17297	1524
919	17316	1505
920	17333	1486
921	17350	1467
922	17368	1448
923	17386	1430
924	17404	1411
925	17421	1392
926	17437	1373
927	17454	1354
928	17472	1335
929	17490	1316
930	17508	1297
931	17526	1278
932	17543	1259
933	17561	1240
934	17583	1222
935	17603	1203
936	17620	1184
937	17637	1165
938	17659	1147
939	17677	1128
940	17695	1109
941	17713	1090
942	17729	1071
943	17748	1052
944	17765	1033
945	17783	1015
946	17801	996
947	17819	977
948	17840	958
949	17860	940
950	17880	921
951	17898	902
952	17917	883
953	17934	864
954	17952	845
955	17971	827
956	17989	808
957	18008	789
958	18027	770
959	18047	751
960	18066	733
961	18083	714
962	18100	695
963	18117	676
964	18138	657
965	18156	639
966	18175	620
967	18194	601
968	18214	582
969	18234	563
970	18255	545
971	18274	526
972	18295	507
973	18317	488
974	18337	470
975	18354	451
976	18372	432
977	18390	413
978	18407	394
979	18424	376
980	18443	357
981	18460	338
982	18478	319
983	18501	300
984	18518	282
985	18536	263
986	18555	244
