iter	Passed	Remaining
647	34765	176671
648	34832	176686
649	34904	176725
650	34968	176723
651	35028	176702
652	35085	176663
653	35140	176614
654	35201	176599
655	35262	176579
656	35335	176622
657	35398	176618
658	35462	176613
659	35529	176622
660	35601	176659
661	35667	176668
662	35733	176673
663	35795	176661
664	35862	176669
665	35933	176698
666	36005	176733
667	36065	176709
668	36132	176721
669	36196	176716
670	36262	176716
671	36329	176728
672	36399	176749
673	36462	176742
674	36531	176760
675	36596	176759
676	36662	176759
677	36722	176732
678	36782	176709
679	36846	176699
680	36917	176727
681	36997	176795
682	37061	176790
683	37120	176755
684	37175	176703
685	37230	176656
686	37290	176629
687	37356	176631
688	37427	176655
689	37491	176646
690	37553	176626
691	37629	176673
692	37694	176668
693	37758	176660
694	37826	176666
695	37900	176706
696	37964	176697
697	38032	176704
698	38099	176708
699	38170	176727
700	38237	176731
701	38312	176770
702	38380	176781
703	38445	176771
704	38512	176775
705	38578	176774
706	38643	176765
707	38711	176771
708	38777	176766
709	38845	176775
710	38913	176779
711	38980	176780
712	39047	176780
713	39119	176806
714	39198	176858
715	39278	176917
716	39342	176904
717	39402	176874
718	39465	176852
719	39530	176844
720	39595	176835
721	39662	176833
722	39738	176870
723	39798	176839
724	39873	176873
725	39942	176880
726	40018	176916
727	40081	176899
728	40152	176913
729	40223	176926
730	40284	176900
731	40349	176888
732	40416	176885
733	40487	176898
734	40551	176879
735	40618	176879
736	40688	176888
737	40755	176883
738	40823	176881
739	40893	176890
740	40958	176880
741	41028	176888
742	41093	176873
743	41162	176876
744	41234	176892
745	41319	176963
746	41403	177029
747	41466	177007
748	41530	176991
749	41592	176963
750	41666	176985
751	41731	176968
752	41799	176969
753	41861	176938
754	41934	176956
755	42004	176962
756	42072	176960
757	42138	176949
758	42202	176929
759	42271	176927
760	42336	176913
761	42405	176911
762	42473	176907
763	42536	176881
764	42600	176861
765	42665	176845
766	42728	176820
767	42792	176797
768	42861	176795
769	42930	176795
770	42988	176749
771	43044	176694
772	43104	176654
773	43161	176604
774	43223	176573
775	43283	176537
776	43338	176479
777	43394	176423
778	43476	176474
779	43556	176513
780	43618	176483
781	43678	176445
782	43744	176431
783	43805	176395
784	43874	176391
785	43943	176389
786	44001	176342
787	44066	176323
788	44133	176310
789	44202	176305
790	44267	176288
791	44332	176266
792	44398	176250
793	44468	176248
794	44537	176246
795	44616	176280
796	44681	176260
797	44836	176594
798	44908	176600
799	44990	176642
800	45061	176644
801	45127	176628
802	45194	176614
803	45256	176579
804	45321	176557
805	45382	176519
806	45443	176481
807	45508	176458
808	45572	176432
809	45654	176472
810	45714	176430
811	45769	176370
812	45826	176317
813	45889	176287
814	45966	176306
815	46032	176287
816	46090	176238
817	46157	176223
818	46227	176216
819	46286	176171
820	46354	176157
821	46419	176134
822	46497	176160
823	46558	176119
824	46619	176081
825	46681	176044
826	46754	176048
827	46835	176086
828	46910	176097
829	46977	176080
830	47035	176027
831	47095	175986
832	47158	175954
833	47220	175915
834	47281	175874
835	47339	175824
836	47401	175789
837	47456	175723
838	47512	175664
839	47571	175616
840	47632	175578
841	47694	175538
842	47756	175504
843	47822	175480
844	47886	175451
845	47945	175402
846	48003	175352
847	48063	175306
848	48124	175265
849	48178	175201
850	48240	175162
851	48302	175123
852	48361	175075
853	48421	175031
854	48485	174999
855	48541	174942
856	48602	174901
857	48664	174864
858	48731	174843
859	48787	174784
860	48843	174725
861	48897	174658
862	48964	174637
863	49019	174574
864	49079	174529
865	49140	174487
866	49194	174423
867	49249	174357
868	49307	174305
869	49378	174301
870	49437	174253
871	49498	174209
872	49551	174141
873	49611	174094
874	49670	174047
875	49731	174002
876	49790	173955
877	49842	173882
878	49907	173853
879	49967	173807
880	50025	173755
881	50085	173707
882	50142	173654
883	50206	173622
884	50266	173577
885	50327	173532
886	50384	173478
887	50445	173434
888	50500	173371
889	50553	173303
890	50613	173255
891	50669	173197
892	50729	173149
893	50786	173093
894	50846	173049
895	50903	172990
896	50960	172935
897	51015	172874
898	51072	172816
899	51127	172755
900	51182	172690
901	51234	172617
902	51290	172560
903	51349	172509
904	51404	172445
905	51471	172424
906	51532	172381
907	51595	172344
908	51651	172285
909	51710	172235
910	51771	172192
911	51826	172130
912	51881	172068
913	51944	172031
914	52003	171982
915	52080	171990
916	52140	171945
917	52197	171887
918	52255	171833
919	52325	171821
920	52391	171793
921	52455	171761
922	52517	171719
923	52573	171659
924	52627	171592
925	52684	171538
926	52739	171474
927	52798	171425
928	52854	171364
929	52912	171311
930	52968	171251
931	53028	171206
932	53084	171145
933	53138	171079
934	53198	171030
935	53252	170965
936	53312	170919
937	53371	170868
938	53430	170819
939	53492	170778
940	53550	170724
941	53605	170662
942	53663	170606
943	53724	170565
944	53781	170507
945	53835	170441
946	53889	170373
947	53949	170328
948	54016	170303
949	54077	170258
950	54140	170221
951	54202	170179
952	54270	170158
953	54333	170119
954	54392	170069
955	54453	170025
956	54513	169976
957	54572	169926
958	54633	169881
959	54692	169830
960	54750	169777
961	54812	169736
962	54873	169690
963	54929	169631
964	54987	169578
965	55045	169522
966	55102	169467
967	55166	169431
968	55221	169369
969	55275	169303
970	55333	169248
971	55389	169190
972	55447	169134
973	55507	169086
974	55571	169051
975	55629	168997
976	55691	168956
977	55751	168908
978	55810	168855
979	55868	168801
980	55927	168750
981	55987	168704
982	56051	168668
983	56111	168619
984	56170	168569
985	56228	168514
986	56286	168461
987	56350	168424
988	56416	168394
989	56478	168352
990	56535	168293
991	56590	168230
992	56655	168197
993	56723	168173
994	56792	168151
995	56850	168097
996	56911	168051
997	56973	168008
998	57035	167967
999	57093	167911
1000	57153	167863
1001	57208	167801
1002	57263	167736
1003	57323	167687
1004	57382	167638
1005	57436	167571
1006	57493	167514
1007	57551	167459
1008	57610	167408
1009	57663	167338
1010	57725	167296
1011	57783	167242
1012	57843	167191
1013	57906	167152
1014	57964	167098
1015	58021	167040
1016	58082	166994
1017	58142	166944
1018	58199	166888
1019	58257	166832
1020	58318	166787
1021	58376	166733
1022	58433	166676
1023	58497	166639
1024	58569	166624
1025	58633	166584
1026	58689	166525
1027	58751	166481
1028	58814	166441
1029	58871	166384
1030	58933	166338
1031	58997	166300
1032	59062	166266
1033	59120	166212
1034	59238	166324
1035	59288	166247
1036	59342	166181
1037	59399	166124
1038	59457	166068
1039	59509	165996
1040	59566	165938
1041	59619	165870
1042	59675	165809
1043	59728	165740
1044	59778	165664
1045	59832	165597
1046	59886	165530
1047	59939	165461
1048	59991	165390
1049	60046	165328
1050	60100	165263
1051	60156	165201
1052	60210	165134
1053	60257	165050
1054	60311	164983
1055	60363	164913
1056	60413	164835
1057	60465	164766
1058	60522	164707
1059	60572	164631
1060	60623	164558
1061	60680	164499
1062	60743	164458
1063	60800	164401
1064	60856	164342
1065	60907	164266
1066	60958	164194
1067	61008	164117
1068	61070	164072
1069	61128	164019
1070	61188	163968
1071	61242	163902
1072	61292	163828
1073	61349	163771
1074	61412	163728
